"Date","Price","Open","High","Low","Vol.","Change %"
"08/24/2019","89.0413","89.0413","89.0413","89.0413","","1.40%"
"08/23/2019","87.8094","87.8094","87.8094","87.8094","","-2.61%"
"08/22/2019","90.1653","90.1653","90.1653","90.1653","","-1.69%"
"08/21/2019","91.7119","91.7119","91.7119","91.7119","","0.17%"
"08/20/2019","91.5519","91.5519","91.5519","91.5519","","-2.82%"
"08/19/2019","94.2109","94.2109","94.2109","94.2109","","-2.03%"
"08/18/2019","96.1638","96.1638","96.1638","96.1638","","-0.59%"
"08/17/2019","96.7329","96.7329","96.7329","96.7329","","3.83%"
"08/16/2019","93.1679","93.1679","93.1679","93.1679","","-1.63%"
"08/15/2019","94.7093","94.7093","94.7093","94.7093","","5.36%"
"08/14/2019","89.8950","89.8950","89.8950","89.8950","","-0.87%"
"08/13/2019","90.6826","90.6826","90.6826","90.6826","","-3.44%"
"08/12/2019","93.9086","93.9086","93.9086","93.9086","","-1.05%"
"08/11/2019","94.9047","94.9047","94.9047","94.9047","","-1.17%"
"08/10/2019","96.0268","96.0268","96.0268","96.0268","","-0.44%"
"08/09/2019","96.4549","96.4549","96.4549","96.4549","","-1.15%"
"08/08/2019","97.5743","97.5743","97.5743","97.5743","","-3.14%"
"08/07/2019","100.7400","100.7400","100.7400","100.7400","","-2.86%"
"08/06/2019","103.7039","103.7039","103.7039","103.7039","","2.51%"
"08/05/2019","101.1686","101.1686","101.1686","101.1686","","5.52%"
"08/04/2019","95.8755","95.8755","95.8755","95.8755","","0.38%"
"08/03/2019","95.5134","95.5134","95.5134","95.5134","","-2.56%"
"08/02/2019","98.0227","98.0227","98.0227","98.0227","","0.08%"
"08/01/2019","97.9427","97.9427","97.9427","97.9427","","-0.07%"
"07/31/2019","98.0066","98.0066","98.0066","98.0066","","1.41%"
"07/30/2019","96.6421","96.6421","96.6421","96.6421","","-0.21%"
"07/29/2019","96.8446","96.8446","96.8446","96.8446","","0.07%"
"07/28/2019","96.7754","96.7754","96.7754","96.7754","","-0.52%"
"07/27/2019","97.2806","97.2806","97.2806","97.2806","","-1.59%"
"07/26/2019","98.8531","98.8531","98.8531","98.8531","","-6.22%"
"07/25/2019","105.4042","105.4042","105.4042","105.4042","","0.70%"
"07/24/2019","104.6724","104.6724","104.6724","104.6724","","-2.08%"
"07/23/2019","106.8917","106.8917","106.8917","106.8917","","1.51%"
"07/22/2019","105.3055","105.3055","105.3055","105.3055","","-2.58%"
"07/21/2019","108.0955","108.0955","108.0955","108.0955","","-1.83%"
"07/20/2019","110.1151","110.1151","110.1151","110.1151","","-3.06%"
"07/19/2019","113.5937","113.5937","113.5937","113.5937","","0.64%"
"07/18/2019","112.8751","112.8751","112.8751","112.8751","","0.03%"
"07/17/2019","112.8382","112.8382","112.8382","112.8382","","-0.81%"
"07/16/2019","113.7639","113.7639","113.7639","113.7639","","4.77%"
"07/15/2019","108.5851","108.5851","108.5851","108.5851","","2.05%"
"07/14/2019","106.4034","106.4034","106.4034","106.4034","","4.34%"
"07/13/2019","101.9794","101.9794","101.9794","101.9794","","-0.24%"
"07/12/2019","102.2238","102.2238","102.2238","102.2238","","-2.68%"
"07/11/2019","105.0382","105.0382","105.0382","105.0382","","-0.92%"
"07/10/2019","106.0185","106.0185","106.0185","106.0185","","2.80%"
"07/09/2019","103.1278","103.1278","103.1278","103.1278","","4.69%"
"07/08/2019","98.5035","98.5035","98.5035","98.5035","","4.42%"
"07/07/2019","94.3381","94.3381","94.3381","94.3381","","-4.33%"
"07/06/2019","98.6103","98.6103","98.6103","98.6103","","-1.86%"
"07/05/2019","100.4793","100.4793","100.4793","100.4793","","-3.25%"
"07/04/2019","103.8563","103.8563","103.8563","103.8563","","0.83%"
"07/03/2019","102.9972","102.9972","102.9972","102.9972","","-0.17%"
"07/02/2019","103.1702","103.1702","103.1702","103.1702","","2.03%"
"07/01/2019","101.1199","101.1199","101.1199","101.1199","","1.36%"
"06/30/2019","99.7650","99.7650","99.7650","99.7650","","-3.53%"
"06/29/2019","103.4173","103.4173","103.4173","103.4173","","-8.28%"
"06/28/2019","112.7563","112.7563","112.7563","112.7563","","-11.86%"
"06/27/2019","127.9261","127.9261","127.9261","127.9261","","9.55%"
"06/26/2019","116.7733","116.7733","116.7733","116.7733","","20.20%"
"06/25/2019","97.1476","97.1476","97.1476","97.1476","","-0.98%"
"06/24/2019","98.1073","98.1073","98.1073","98.1073","","-2.65%"
"06/23/2019","100.7754","100.7754","100.7754","100.7754","","0.52%"
"06/22/2019","100.2528","100.2528","100.2528","100.2528","","7.27%"
"06/21/2019","93.4555","93.4555","93.4555","93.4555","","9.61%"
"06/20/2019","85.2644","85.2644","85.2644","85.2644","","0.27%"
"06/19/2019","85.0372","85.0372","85.0372","85.0372","","-0.64%"
"06/18/2019","85.5890","85.5890","85.5890","85.5890","","1.94%"
"06/17/2019","83.9637","83.9637","83.9637","83.9637","","6.87%"
"06/16/2019","78.5645","78.5645","78.5645","78.5645","","6.04%"
"06/15/2019","74.0906","74.0906","74.0906","74.0906","","-0.64%"
"06/14/2019","74.5653","74.5653","74.5653","74.5653","","0.93%"
"06/13/2019","73.8765","73.8765","73.8765","73.8765","","-0.71%"
"06/12/2019","74.4070","74.4070","74.4070","74.4070","","-1.03%"
"06/11/2019","75.1783","75.1783","75.1783","75.1783","","-3.95%"
"06/10/2019","78.2685","78.2685","78.2685","78.2685","","-0.11%"
"06/09/2019","78.3548","78.3548","78.3548","78.3548","","-0.07%"
"06/08/2019","78.4101","78.4101","78.4101","78.4101","","-1.39%"
"06/07/2019","79.5185","79.5185","79.5185","79.5185","","-4.07%"
"06/06/2019","82.8891","82.8891","82.8891","82.8891","","-7.33%"
"06/05/2019","89.4472","89.4472","89.4472","89.4472","","-2.21%"
"06/04/2019","91.4726","91.4726","91.4726","91.4726","","2.49%"
"06/03/2019","89.2509","89.2509","89.2509","89.2509","","-0.73%"
"06/02/2019","89.9063","89.9063","89.9063","89.9063","","-1.39%"
"06/01/2019","91.1714","91.1714","91.1714","91.1714","","-2.56%"
"05/31/2019","93.5656","93.5656","93.5656","93.5656","","-1.94%"
"05/30/2019","95.4204","95.4204","95.4204","95.4204","","0.50%"
"05/29/2019","94.9435","94.9435","94.9435","94.9435","","-3.44%"
"05/28/2019","98.3233","98.3233","98.3233","98.3233","","-2.40%"
"05/27/2019","100.7367","100.7367","100.7367","100.7367","","7.04%"
"05/26/2019","94.1122","94.1122","94.1122","94.1122","","1.51%"
"05/25/2019","92.7164","92.7164","92.7164","92.7164","","-1.04%"
"05/24/2019","93.6897","93.6897","93.6897","93.6897","","-1.82%"
"05/23/2019","95.4310","95.4310","95.4310","95.4310","","-1.38%"
