Date,Price,Open,High,Low,Vol.,Change %
2020-12-10,46.78,45.69,47.74,45.52,447.53K,2.77%
2020-12-11,46.57,46.97,47.29,46.34,367.31K,-0.45%
2020-12-14,46.99,46.73,47.44,45.69,403.54K,0.90%
2020-12-15,47.62,46.99,47.73,46.54,311.17K,1.34%
2020-12-16,47.82,47.6,47.94,47.17,275.33K,0.42%
2020-12-17,48.36,47.85,48.59,47.81,96.54K,1.13%
2020-12-18,49.1,48.43,49.28,48.1,83.71K,1.53%
2020-12-21,47.74,48.54,48.61,46.18,27.96K,-2.77%
2020-12-22,47.02,47.93,47.96,46.6,295.74K,-1.51%
2020-12-23,48.12,46.79,48.5,46.16,344.31K,2.34%
2020-12-24,48.23,48.09,48.62,47.56,167.39K,0.23%
2020-12-28,47.62,48.23,48.96,47.5,238.46K,-1.26%
2020-12-29,48,47.72,48.35,47.68,213.78K,0.80%
2020-12-30,48.4,48.13,48.66,47.61,266.96K,0.83%
2020-12-31,48.52,48.35,48.58,47.77,181.89K,0.25%
2021-01-04,47.62,48.4,49.83,47.18,528.53K,-1.85%
2021-01-05,49.93,47.38,50.2,47.24,643.19K,4.85%
2021-01-06,50.63,49.82,50.94,49.48,509.37K,1.40%
2021-01-07,50.83,50.53,51.28,50.39,369.29K,0.40%
2021-01-08,52.24,50.93,52.75,50.81,499.42K,2.77%
2021-01-11,52.25,52.58,52.7,51.5,394.82K,0.02%
2021-01-12,53.21,52.18,53.45,52.07,400.20K,1.84%
2021-01-13,52.91,53.31,53.93,52.58,429.90K,-0.56%
2021-01-14,53.57,52.84,53.75,52.24,390.09K,1.25%
2021-01-15,52.36,53.8,53.83,51.83,165.67K,-2.26%
2021-01-17,52.2,52.09,52.38,52.09,,-0.31%
2021-01-18,52.36,52.2,52.61,51.83,,0.31%
2021-01-19,52.98,52,53.13,51.76,125.96K,1.18%
2021-01-20,53.24,53.13,53.79,53.05,37.84K,0.49%
2021-01-21,53.13,52.93,53.41,52.75,352.40K,-0.21%
2021-01-22,52.27,53.1,53.16,51.44,437.48K,-1.62%
2021-01-25,52.77,52.17,52.95,51.82,349.08K,0.96%
2021-01-26,52.61,52.91,53.25,52.29,314.54K,-0.30%
2021-01-27,52.85,52.76,53.3,51.85,442.38K,0.46%
2021-01-28,52.34,52.65,53.58,52.04,411.41K,-0.96%
2021-01-29,52.2,52.15,53.25,51.93,410.91K,-0.27%
